pick_id,year,round,original_team,pick_type,rules,EV,value_std,min_value,max_value,p10,p25,p50,p75,p90,expected_draft_slot,resolution_rate,owner_1,owner_2,owner_3,ownership_prob_1,ownership_prob_2,ownership_prob_3
Los_Angeles_Clippers_2028_2,2028,2,Los Angeles Clippers,swap,"{""type"": ""swap"", ""pool"": [""Charlotte_Hornets_2028_2"", ""Los_Angeles_Clippers_2028_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Charlotte Hornets""}, {""rank"": ""lf"", ""to"": ""Detroit Pistons""}]}",0.04899825,0.013799498706618112,0.0225,0.09,0.0325,0.0375,0.0475,0.0575,0.0625,44.5861,1.0,Charlotte Hornets,Detroit Pistons,,0.7383,0.2617,
Oklahoma_City_Thunder_2030_2,2030,2,Oklahoma City Thunder,unprotected,"{""type"": ""unprotected"", ""owner"": ""Oklahoma City Thunder""}",0.0390225,0.020704615713921997,0.0125,0.09,0.015,0.0225,0.035,0.055,0.0675,48.9033,1.0,Oklahoma City Thunder,,,1.0,,
Brooklyn_Nets_2031_1,2031,1,Brooklyn Nets,unprotected,"{""type"": ""unprotected"", ""owner"": ""Brooklyn Nets""}",0.382044,0.20990518534015118,0.1175,1.0,0.165,0.215,0.33,0.5,0.6675,14.4972,1.0,Brooklyn Nets,,,1.0,,
Oklahoma_City_Thunder_2027_1,2027,1,Oklahoma City Thunder,protected_swap,"{""type"": ""protected_swap"", ""note"": ""rules not yet entered""}",,,,,,,,,,,0.0,,,,,,
Brooklyn_Nets_2026_2,2026,2,Brooklyn Nets,unprotected,"{""type"": ""unprotected"", ""owner"": ""Brooklyn Nets""}",0.07994,0.006391927383314621,0.0725,0.09,0.0725,0.075,0.08,0.0875,0.09,33.8342,1.0,Brooklyn Nets,,,1.0,,
Denver_Nuggets_2032_2,2032,2,Denver Nuggets,unprotected,"{""type"": ""unprotected"", ""owner"": ""Denver Nuggets""}",0.0477765,0.02296848499314411,0.0125,0.09,0.0175,0.0275,0.045,0.0675,0.0825,45.5395,1.0,Denver Nuggets,,,1.0,,
Los_Angeles_Lakers_2029_2,2029,2,Los Angeles Lakers,unprotected,"{""type"": ""unprotected"", ""owner"": ""Washington Wizards""}",0.031088,0.01524375259571341,0.0125,0.09,0.015,0.0175,0.0275,0.0425,0.0525,51.9812,1.0,Washington Wizards,,,1.0,,
Phoenix_Suns_2026_1,2026,1,Phoenix Suns,nested_swap,"{""type"": ""nested_swap"", ""possible_destinations"": [""Memphis Grizzlies"", ""Charlotte Hornets"", ""Washington Wizards""], ""levels"": [{""description"": ""WAS (if 1-8) vs PHX"", ""pool"": [{""pick"": ""Washington_Wizards_2026_1"", ""condition"": {""range"": [1, 8]}}, ""Phoenix_Suns_2026_1""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Washington Wizards""}, {""rank"": ""lf"", ""to"": ""TEMP_WAS_PHX_LF""}]}, {""description"": ""MEM, ORL, and LF(WAS/PHX)"", ""pool"": [""Memphis_Grizzlies_2026_1"", ""Orlando_Magic_2026_1"", ""TEMP_WAS_PHX_LF""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Memphis Grizzlies""}, {""rank"": ""mid"", ""to"": ""Memphis Grizzlies""}, {""rank"": ""lf"", ""to"": ""Charlotte Hornets""}]}]}",0.3688895,0.09320896861854608,0.33,1.0,0.35,0.35,0.35,0.35,0.35,12.5285,1.0,Memphis Grizzlies,Washington Wizards,Phoenix Suns,0.9389,0.037,0.0241
Portland_Trail_Blazers_2028_2,2028,2,Portland Trail Blazers,protection_backup,"{""type"": ""protection_backup"", ""triggers"": [{""pick_id"": ""Portland_Trail_Blazers_2026_1"", ""condition"": {""range"": [1, 14]}}, {""pick_id"": ""Portland_Trail_Blazers_2027_1"", ""condition"": {""range"": [1, 14]}}, {""pick_id"": ""Portland_Trail_Blazers_2028_1"", ""condition"": {""range"": [1, 14]}}], ""trigger_logic"": ""ALL"", ""if_triggered_to"": ""Chicago Bulls"", ""if_not_triggered_to"": ""Portland Trail Blazers""}",,,,,,,,,,,0.0,,,,,,
Phoenix_Suns_2031_2,2031,2,Phoenix Suns,unprotected,"{""type"": ""unprotected"", ""owner"": ""Charlotte Hornets""}",0.051542,0.022410376134635732,0.0125,0.09,0.0225,0.0325,0.05,0.0725,0.0825,44.0695,1.0,Charlotte Hornets,,,1.0,,
Los_Angeles_Lakers_2032_1,2032,1,Los Angeles Lakers,unprotected,"{""type"": ""unprotected"", ""owner"": ""Los Angeles Lakers""}",0.3619765,0.20687297271619134,0.1175,1.0,0.1425,0.2,0.31,0.4775,0.6675,15.4903,1.0,Los Angeles Lakers,,,1.0,,
Dallas_Mavericks_2026_2,2026,2,Dallas Mavericks,swap,"{""type"": ""swap"", ""possible_destinations"": [""Oklahoma City Thunder"", ""Phoenix Suns"", ""Washington Wizards""], ""pool"": [""Dallas_Mavericks_2026_2"", ""Oklahoma_City_Thunder_2026_2"", ""Philadelphia_76ers_2026_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Oklahoma City Thunder""}, {""rank"": ""mid"", ""to"": ""Phoenix Suns""}, {""rank"": ""lf"", ""to"": ""Washington Wizards""}]}",0.05964149999999999,0.008054996340570528,0.0525,0.09,0.055,0.0575,0.0575,0.0575,0.0575,40.3682,1.0,Washington Wizards,,,1.0,,
Milwaukee_Bucks_2028_1,2028,1,Milwaukee Bucks,nested_swap,"{""type"": ""nested_swap"", ""note"": ""rules not yet entered""}",,,,,,,,,,,0.0,,,,,,
Dallas_Mavericks_2031_1,2031,1,Dallas Mavericks,unprotected,"{""type"": ""unprotected"", ""owner"": ""Dallas Mavericks""}",0.3283335,0.19152385208203632,0.1175,1.0,0.13,0.175,0.2825,0.43,0.56,17.0159,1.0,Dallas Mavericks,,,1.0,,
Cleveland_Cavaliers_2032_1,2032,1,Cleveland Cavaliers,unprotected,"{""type"": ""unprotected"", ""owner"": ""Cleveland Cavaliers""}",0.36021425,0.2051719261348028,0.1175,1.0,0.155,0.2,0.295,0.4775,0.6025,15.5319,1.0,Cleveland Cavaliers,,,1.0,,
Chicago_Bulls_2028_2,2028,2,Chicago Bulls,unprotected,"{""type"": ""unprotected"", ""owner"": ""Chicago Bulls""}",0.07282899999999999,0.011023561624587999,0.045,0.09,0.0575,0.0625,0.0725,0.0825,0.0875,36.1405,1.0,Chicago Bulls,,,1.0,,
Indiana_Pacers_2029_1,2029,1,Indiana Pacers,unprotected,"{""type"": ""unprotected"", ""owner"": ""Indiana Pacers""}",0.24964524999999999,0.12769917476382123,0.1175,1.0,0.13,0.155,0.215,0.31,0.4,20.6625,1.0,Indiana Pacers,,,1.0,,
Detroit_Pistons_2030_1,2030,1,Detroit Pistons,unprotected,"{""type"": ""unprotected"", ""owner"": ""Detroit Pistons""}",0.2631335,0.15157173574534832,0.1175,1.0,0.1175,0.1425,0.23,0.33,0.4575,20.2166,1.0,Detroit Pistons,,,1.0,,
Boston_Celtics_2030_2,2030,2,Boston Celtics,unprotected,"{""type"": ""unprotected"", ""owner"": ""Brooklyn Nets""}",0.0553475,0.02147938849602139,0.0125,0.09,0.025,0.0375,0.055,0.075,0.0825,42.5815,1.0,Brooklyn Nets,,,1.0,,
New_Orleans_Pelicans_2028_1,2028,1,New Orleans Pelicans,unprotected,"{""type"": ""unprotected"", ""owner"": ""New Orleans Pelicans""}",0.4876915,0.17659236057636057,0.23,1.0,0.31,0.35,0.4575,0.56,0.775,8.9797,1.0,New Orleans Pelicans,,,1.0,,
Boston_Celtics_2027_1,2027,1,Boston Celtics,unprotected,"{""type"": ""unprotected"", ""owner"": ""Boston Celtics""}",0.1899195,0.02236592929500849,0.13,0.2575,0.165,0.175,0.1875,0.2,0.215,23.9286,1.0,Boston Celtics,,,1.0,,
Detroit_Pistons_2027_2,2027,2,Detroit Pistons,unprotected,"{""type"": ""unprotected"", ""owner"": ""Detroit Pistons""}",0.017695500000000003,0.0034634490465329207,0.0125,0.0275,0.0125,0.015,0.0175,0.02,0.0225,57.8493,1.0,Detroit Pistons,,,1.0,,
Cleveland_Cavaliers_2029_2,2029,2,Cleveland Cavaliers,unprotected,"{""type"": ""unprotected"", ""owner"": ""Atlanta Hawks""}",0.043541,0.019679717938268677,0.0125,0.09,0.02,0.025,0.04,0.0575,0.07,47.0063,1.0,Atlanta Hawks,,,1.0,,
Indiana_Pacers_2032_2,2032,2,Indiana Pacers,unprotected,"{""type"": ""unprotected"", ""owner"": ""Indiana Pacers""}",0.047942,0.022781275966316412,0.0125,0.09,0.02,0.0275,0.0475,0.0675,0.0825,45.4582,1.0,Indiana Pacers,,,1.0,,
Houston_Rockets_2032_1,2032,1,Houston Rockets,unprotected,"{""type"": ""unprotected"", ""owner"": ""Houston Rockets""}",0.36637474999999997,0.21087774332465828,0.1175,1.0,0.155,0.2,0.31,0.4775,0.6675,15.3427,1.0,Houston Rockets,,,1.0,,
Charlotte_Hornets_2028_2,2028,2,Charlotte Hornets,swap,"{""type"": ""swap"", ""pool"": [""Charlotte_Hornets_2028_2"", ""Los_Angeles_Clippers_2028_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Charlotte Hornets""}, {""rank"": ""lf"", ""to"": ""Los Angeles Clippers""}]}",0.06201825,0.014109250477342978,0.035,0.09,0.045,0.05,0.06,0.07,0.0825,39.8599,1.0,Los Angeles Clippers,Charlotte Hornets,,0.7383,0.2617,
San_Antonio_Spurs_2032_2,2032,2,San Antonio Spurs,unprotected,"{""type"": ""unprotected"", ""owner"": ""San Antonio Spurs""}",0.047747500000000005,0.022643156030056923,0.0125,0.09,0.02,0.0275,0.045,0.0675,0.08,45.5238,1.0,San Antonio Spurs,,,1.0,,
Utah_Jazz_2026_2,2026,2,Utah Jazz,protected,"{""type"": ""protected"", ""protection_range"": [31, 55], ""if_protected_to"": ""San Antonio Spurs"", ""if_not_protected_to"": ""Milwaukee Bucks""}",0.0794435,0.00688222669304242,0.07,0.09,0.0725,0.0725,0.08,0.0875,0.09,34.0313,1.0,Milwaukee Bucks,San Antonio Spurs,,0.6789,0.3211,
Houston_Rockets_2029_2,2029,2,Houston Rockets,unprotected,"{""type"": ""unprotected"", ""owner"": ""Washington Wizards""}",0.02833775,0.013566307692513121,0.0125,0.09,0.0125,0.0175,0.025,0.0375,0.0475,53.1206,1.0,Washington Wizards,,,1.0,,
Miami_Heat_2027_2,2027,2,Miami Heat,nested_swap,"{""type"": ""nested_swap"", ""possible_destinations"": [""Oklahoma City Thunder"", ""New York Knicks"", ""San Antonio Spurs"", ""Miami Heat""], ""levels"": [{""description"": ""Sub-swap (i): rank OKC, HOU, IND, MIA"", ""pool"": [""Oklahoma_City_Thunder_2027_2"", ""Houston_Rockets_2027_2"", ""Indiana_Pacers_2027_2"", ""Miami_Heat_2027_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Oklahoma City Thunder""}, {""rank"": ""mid1"", ""to"": ""New York Knicks""}, {""rank"": ""mid2"", ""to"": ""New York Knicks""}, {""rank"": ""lf"", ""to"": ""TEMP_I_LF""}]}, {""description"": ""SAS and (lf of the four)"", ""pool"": [""San_Antonio_Spurs_2027_2"", ""TEMP_I_LF""], ""allocation"": [{""rank"": ""mf"", ""to"": ""San Antonio Spurs""}, {""rank"": ""lf"", ""to"": ""Miami Heat""}]}]}",0.04512675,0.005354664011884215,0.0325,0.09,0.04,0.0425,0.045,0.0475,0.05,45.965,1.0,New York Knicks,,,1.0,,
Memphis_Grizzlies_2028_1,2028,1,Memphis Grizzlies,unprotected,"{""type"": ""unprotected"", ""owner"": ""Memphis Grizzlies""}",0.597336,0.17104503060378456,0.31,1.0,0.43,0.4775,0.56,0.6675,1.0,5.5943,1.0,Memphis Grizzlies,,,1.0,,
Utah_Jazz_2031_1,2031,1,Utah Jazz,unprotected,"{""type"": ""unprotected"", ""owner"": ""Utah Jazz""}",0.36212375,0.2052242602877118,0.1175,1.0,0.155,0.2,0.31,0.4775,0.6025,15.4426,1.0,Utah Jazz,,,1.0,,
Golden_State_Warriors_2028_1,2028,1,Golden State Warriors,unprotected,"{""type"": ""unprotected"", ""owner"": ""Golden State Warriors""}",0.512257,0.1755886822649283,0.2575,1.0,0.33,0.375,0.4775,0.6025,0.775,8.1241,1.0,Golden State Warriors,,,1.0,,
San_Antonio_Spurs_2029_1,2029,1,San Antonio Spurs,unprotected,"{""type"": ""unprotected"", ""owner"": ""San Antonio Spurs""}",0.18170325,0.06309832766668946,0.1175,1.0,0.1175,0.13,0.165,0.23,0.2825,24.8645,1.0,San Antonio Spurs,,,1.0,,
Miami_Heat_2030_1,2030,1,Miami Heat,unprotected,"{""type"": ""unprotected"", ""owner"": ""Miami Heat""}",0.4061555,0.21096849134452286,0.1175,1.0,0.175,0.245,0.35,0.5275,0.6675,13.3172,1.0,Miami Heat,,,1.0,,
Toronto_Raptors_2027_1,2027,1,Toronto Raptors,unprotected,"{""type"": ""unprotected"", ""owner"": ""Toronto Raptors""}",0.22909975,0.02498704884932431,0.165,0.295,0.2,0.215,0.23,0.245,0.2575,21.0255,1.0,Toronto Raptors,,,1.0,,
