year,team,pick
2026,Sacramento Kings,1
2026,New Orleans Pelicans,2
2026,Dallas Mavericks,3
2026,Charlotte Hornets,4
2026,Utah Jazz,5
2026,Indiana Pacers,6
2026,Washington Wizards,7
2026,Brooklyn Nets,8
2026,Portland Trail Blazers,9
2026,Memphis Grizzlies,10
2026,Los Angeles Clippers,11
2026,Chicago Bulls,12
2026,Phoenix Suns,13
2026,Golden State Warriors,14
2026,Philadelphia 76ers,15
2026,Milwaukee Bucks,16
2026,San Antonio Spurs,17
2026,Boston Celtics,18
2026,Miami Heat,19
2026,Minnesota Timberwolves,20
2026,Atlanta Hawks,21
2026,Orlando Magic,22
2026,New York Knicks,23
2026,Toronto Raptors,24
2026,Los Angeles Lakers,25
2026,Oklahoma City Thunder,26
2026,Houston Rockets,27
2026,Denver Nuggets,28
2026,Cleveland Cavaliers,29
2026,Detroit Pistons,30
2026,Utah Jazz,31
2026,Indiana Pacers,32
2026,Washington Wizards,33
2026,Brooklyn Nets,34
2026,Dallas Mavericks,35
2026,Charlotte Hornets,36
2026,New Orleans Pelicans,37
2026,Sacramento Kings,38
2026,Portland Trail Blazers,39
2026,Memphis Grizzlies,40
2026,Los Angeles Clippers,41
2026,Chicago Bulls,42
2026,Phoenix Suns,43
2026,Golden State Warriors,44
2026,Philadelphia 76ers,45
2026,Milwaukee Bucks,46
2026,San Antonio Spurs,47
2026,Boston Celtics,48
2026,Miami Heat,49
2026,Minnesota Timberwolves,50
2026,Atlanta Hawks,51
2026,Orlando Magic,52
2026,New York Knicks,53
2026,Toronto Raptors,54
2026,Los Angeles Lakers,55
2026,Oklahoma City Thunder,56
2026,Houston Rockets,57
2026,Denver Nuggets,58
2026,Cleveland Cavaliers,59
2026,Detroit Pistons,60
2027,Chicago Bulls,1
2027,New York Knicks,2
2027,Philadelphia 76ers,3
2027,Los Angeles Clippers,4
2027,Dallas Mavericks,5
2027,Golden State Warriors,6
2027,Brooklyn Nets,7
2027,New Orleans Pelicans,8
2027,Charlotte Hornets,9
2027,Washington Wizards,10
2027,Milwaukee Bucks,11
2027,Miami Heat,12
2027,Minnesota Timberwolves,13
2027,Utah Jazz,14
2027,Memphis Grizzlies,15
2027,Phoenix Suns,16
2027,Los Angeles Lakers,17
2027,Atlanta Hawks,18
2027,Portland Trail Blazers,19
2027,Toronto Raptors,20
2027,Cleveland Cavaliers,21
2027,Sacramento Kings,22
2027,Houston Rockets,23
2027,Boston Celtics,24
2027,Orlando Magic,25
2027,Indiana Pacers,26
2027,Oklahoma City Thunder,27
2027,San Antonio Spurs,28
2027,Denver Nuggets,29
2027,Detroit Pistons,30
2027,Los Angeles Clippers,31
2027,Dallas Mavericks,32
2027,New York Knicks,33
2027,Chicago Bulls,34
2027,Golden State Warriors,35
2027,Philadelphia 76ers,36
2027,Brooklyn Nets,37
2027,New Orleans Pelicans,38
2027,Charlotte Hornets,39
2027,Washington Wizards,40
2027,Milwaukee Bucks,41
2027,Miami Heat,42
2027,Minnesota Timberwolves,43
