year,team,expected_pick
2026,OKC,4.104
2026,HOU,4.322
2026,DEN,4.643
2026,CLE,5.022
2026,DET,5.485
2026,LAL,6.077
2026,NYK,6.764
2026,MIA,7.524
2026,TOR,8.41
2026,ATL,9.44
2026,ORL,10.402
2026,SAS,11.512
2026,MIN,12.572
2026,GSW,13.639
2026,PHI,14.769
2026,BOS,15.912
2026,PHO,16.918
2026,LAC,17.974
2026,MIL,18.96
2026,POR,19.974
2026,CHI,20.978
2026,MEM,21.985
2026,DAL,22.931
2026,CHA,23.846
2026,NOP,24.862
2026,SAC,25.687
2026,UTA,26.517
2026,IND,27.291
2026,BRK,27.955
2026,WAS,28.523
2027,OKC,5.528
2027,HOU,5.908
2027,DEN,7.291
2027,CLE,7.898
2027,DET,6.3
2027,LAL,11.525
2027,NYK,12.316
2027,MIA,14.782
2027,TOR,10.641
2027,ATL,9.24
2027,ORL,13.893
2027,SAS,6.826
2027,MIN,13.047
2027,GSW,16.668
2027,PHI,15.941
2027,BOS,8.486
2027,PHO,17.586
2027,LAC,25.157
2027,MIL,24.482
2027,POR,18.277
2027,CHI,23.209
2027,MEM,22.391
2027,DAL,20.146
2027,CHA,21.71
2027,NOP,19.187
2027,SAC,25.734
2027,UTA,23.864
2027,IND,9.724
2027,BRK,26.327
2027,WAS,20.915
2028,OKC,7.76
2028,HOU,6.874
2028,DEN,10.41
2028,CLE,12.194
2028,DET,7.239
2028,LAL,9.108
2028,NYK,16.593
2028,MIA,14.337
2028,TOR,12.896
2028,ATL,11.424
2028,ORL,13.495
2028,SAS,8.272
2028,MIN,8.764
2028,GSW,20.574
2028,PHI,17.16
2028,BOS,9.76
2028,PHO,21.895
2028,LAC,15.713
2028,MIL,24.111
2028,POR,17.843
2028,CHI,22.419
2028,MEM,23.085
2028,DAL,14.915
2028,CHA,19.231
2028,NOP,19.98
2028,SAC,24.707
2028,UTA,21.2
2028,IND,10.879
2028,BRK,23.714
2028,WAS,18.449
2029,OKC,8.62
2029,HOU,9.327
2029,DEN,11.828
2029,CLE,14.069
2029,DET,9.69
2029,LAL,10.188
2029,NYK,18.599
2029,MIA,13.414
2029,TOR,14.457
2029,ATL,12.882
2029,ORL,10.763
2029,SAS,8.107
2029,MIN,8.825
2029,GSW,21.298
2029,PHI,15.611
2029,BOS,12.224
2029,PHO,20.855
2029,LAC,19.72
2029,MIL,22.828
2029,POR,16.207
2029,CHI,20.288
2029,MEM,23.177
2029,DAL,15.101
2029,CHA,18.106
2029,NOP,17.372
2029,SAC,22.355
2029,UTA,19.069
2029,IND,11.23
2029,BRK,21.98
2029,WAS,16.812
2030,OKC,11.385
2030,HOU,10.79
2030,DEN,14.11
2030,CLE,13.229
2030,DET,9.538
2030,LAL,9.084
2030,NYK,18.823
2030,MIA,18.254
2030,TOR,15.794
2030,ATL,12.638
2030,ORL,11.769
2030,SAS,9.977
2030,MIN,8.81
2030,GSW,20.168
2030,PHI,10.35
2030,BOS,19.27
2030,PHO,21.589
2030,LAC,22.593
2030,MIL,22.033
2030,POR,16.5
2030,CHI,17.66
2030,MEM,21.177
2030,DAL,12.286
2030,CHA,15.066
2030,NOP,16.325
2030,SAC,20.697
2030,UTA,17.127
2030,IND,13.705
2030,BRK,19.701
2030,WAS,14.551
2031,OKC,11.408
2031,HOU,12.054
2031,DEN,17.357
2031,CLE,13.861
2031,DET,11.745
2031,LAL,9.289
2031,NYK,19.868
2031,MIA,20.569
2031,TOR,16.554
2031,ATL,14.23
2031,ORL,15.26
2031,SAS,9.733
2031,MIN,10.566
2031,GSW,18.989
2031,PHI,10.03
2031,BOS,17.146
2031,PHO,20.148
2031,LAC,21.805
2031,MIL,21.018
2031,POR,17.953
2031,CHI,15.968
2031,MEM,21.531
2031,DAL,10.939
2031,CHA,13.282
2031,NOP,14.776
2031,SAC,19.269
2031,UTA,15.661
2031,IND,12.636
2031,BRK,18.496
2031,WAS,12.858
2032,OKC,13.161
2032,HOU,11.432
2032,DEN,18.146
2032,CLE,14.44
2032,DET,9.925
2032,LAL,10.63
2032,NYK,19.145
2032,MIA,19.923
2032,TOR,15.764
2032,ATL,17.294
2032,ORL,19.598
2032,SAS,9.616
2032,MIN,12.756
2032,GSW,17.81
2032,PHI,10.314
2032,BOS,14.813
2032,PHO,20.179
2032,LAC,21.515
2032,MIL,21.313
2032,POR,15.158
2032,CHI,16.519
2032,MEM,20.813
2032,DAL,12.015
2032,CHA,12.301
2032,NOP,16.059
2032,SAC,18.744
2032,UTA,13.998
2032,IND,11.169
2032,BRK,16.917
2032,WAS,13.531
