pick_id,owner,prob
Atlanta_Hawks_2026_2,Brooklyn Nets,1.0
Atlanta_Hawks_2027_1,San Antonio Spurs,1.0
Atlanta_Hawks_2027_2,Portland Trail Blazers,1.0
Atlanta_Hawks_2028_1,Atlanta Hawks,0.4648
Atlanta_Hawks_2028_1,Cleveland Cavaliers,0.5352
Atlanta_Hawks_2028_2,Brooklyn Nets,1.0
Atlanta_Hawks_2029_1,Atlanta Hawks,1.0
Atlanta_Hawks_2029_2,Oklahoma City Thunder,1.0
Atlanta_Hawks_2030_1,Atlanta Hawks,1.0
Atlanta_Hawks_2030_2,Atlanta Hawks,1.0
Atlanta_Hawks_2031_1,Atlanta Hawks,1.0
Atlanta_Hawks_2031_2,Atlanta Hawks,0.3671
Atlanta_Hawks_2031_2,Houston Rockets,0.5069
Atlanta_Hawks_2032_1,Atlanta Hawks,1.0
Atlanta_Hawks_2032_2,Atlanta Hawks,1.0
Boston_Celtics_2026_1,Boston Celtics,1.0
Boston_Celtics_2027_1,Boston Celtics,1.0
Boston_Celtics_2027_2,Utah Jazz,1.0
Boston_Celtics_2028_1,Boston Celtics,0.3406
Boston_Celtics_2028_1,San Antonio Spurs,0.6594
Boston_Celtics_2029_1,Portland Trail Blazers,0.7242
Boston_Celtics_2029_1,Washington Wizards,0.2758
Boston_Celtics_2029_2,Oklahoma City Thunder,1.0
Boston_Celtics_2030_1,Boston Celtics,1.0
Boston_Celtics_2030_2,Brooklyn Nets,1.0
Boston_Celtics_2031_1,Boston Celtics,1.0
Boston_Celtics_2031_2,Boston Celtics,0.5353
Boston_Celtics_2031_2,Utah Jazz,0.4647
Boston_Celtics_2032_1,Boston Celtics,1.0
Boston_Celtics_2032_2,Boston Celtics,1.0
Brooklyn_Nets_2026_1,Brooklyn Nets,1.0
Brooklyn_Nets_2026_2,Brooklyn Nets,1.0
Brooklyn_Nets_2027_1,Houston Rockets,1.0
Brooklyn_Nets_2027_2,Detroit Pistons,0.8835
Brooklyn_Nets_2027_2,Washington Wizards,0.1165
Brooklyn_Nets_2028_1,Brooklyn Nets,1.0
Brooklyn_Nets_2028_2,Brooklyn Nets,1.0
Brooklyn_Nets_2029_1,Brooklyn Nets,1.0
Brooklyn_Nets_2029_2,Brooklyn Nets,1.0
Brooklyn_Nets_2030_1,Brooklyn Nets,1.0
Brooklyn_Nets_2030_2,Brooklyn Nets,1.0
Brooklyn_Nets_2031_1,Brooklyn Nets,1.0
Brooklyn_Nets_2031_2,Brooklyn Nets,1.0
Brooklyn_Nets_2032_1,Brooklyn Nets,1.0
Brooklyn_Nets_2032_2,Brooklyn Nets,1.0
Charlotte_Hornets_2026_1,Charlotte Hornets,1.0
Charlotte_Hornets_2026_2,Detroit Pistons,0.3197
Charlotte_Hornets_2026_2,Sacramento Kings,0.6803
Charlotte_Hornets_2027_1,Charlotte Hornets,1.0
Charlotte_Hornets_2028_1,Charlotte Hornets,1.0
Charlotte_Hornets_2028_2,Charlotte Hornets,0.2617
Charlotte_Hornets_2028_2,Los Angeles Clippers,0.7383
Charlotte_Hornets_2029_1,Charlotte Hornets,1.0
Charlotte_Hornets_2029_2,Charlotte Hornets,1.0
Charlotte_Hornets_2030_1,Charlotte Hornets,1.0
Charlotte_Hornets_2030_2,Charlotte Hornets,1.0
Charlotte_Hornets_2031_1,Charlotte Hornets,1.0
Charlotte_Hornets_2031_2,Charlotte Hornets,1.0
Charlotte_Hornets_2032_1,Charlotte Hornets,1.0
Charlotte_Hornets_2032_2,Charlotte Hornets,1.0
Chicago_Bulls_2026_1,Chicago Bulls,1.0
