pick_id,owner,implied_value
Atlanta_Hawks_2026_2,Brooklyn Nets,0.0425
Atlanta_Hawks_2027_1,San Antonio Spurs,0.20216975
Atlanta_Hawks_2027_2,Portland Trail Blazers,0.02773225
Atlanta_Hawks_2028_1,Atlanta Hawks,0.2752764629948365
Atlanta_Hawks_2028_1,Cleveland Cavaliers,0.19990704409566515
Atlanta_Hawks_2028_2,Brooklyn Nets,0.03353325
Atlanta_Hawks_2029_1,Atlanta Hawks,0.28880700000000004
Atlanta_Hawks_2029_2,Oklahoma City Thunder,0.039689999999999996
Atlanta_Hawks_2030_1,Atlanta Hawks,0.31969575
Atlanta_Hawks_2030_2,Atlanta Hawks,0.04299675
Atlanta_Hawks_2031_1,Atlanta Hawks,0.35496975000000003
Atlanta_Hawks_2031_2,Atlanta Hawks,0.029506946336148192
Atlanta_Hawks_2031_2,Houston Rockets,0.060097159202998615
Atlanta_Hawks_2032_1,Atlanta Hawks,0.36062825
Atlanta_Hawks_2032_2,Atlanta Hawks,0.04784125
Boston_Celtics_2026_1,Boston Celtics,0.23
Boston_Celtics_2027_1,Boston Celtics,0.1899195
Boston_Celtics_2027_2,Utah Jazz,0.02569525
Boston_Celtics_2028_1,Boston Celtics,0.1571594245449207
Boston_Celtics_2028_1,San Antonio Spurs,0.21880269942371855
Boston_Celtics_2029_1,Portland Trail Blazers,0.2504767329466998
Boston_Celtics_2029_1,Washington Wizards,0.340065264684554
Boston_Celtics_2029_2,Oklahoma City Thunder,0.037807
Boston_Celtics_2030_1,Boston Celtics,0.422662
Boston_Celtics_2030_2,Brooklyn Nets,0.0553475
Boston_Celtics_2031_1,Boston Celtics,0.37257049999999997
Boston_Celtics_2031_2,Boston Celtics,0.06146646740145712
Boston_Celtics_2031_2,Utah Jazz,0.03517161609640628
Boston_Celtics_2032_1,Boston Celtics,0.360455
Boston_Celtics_2032_2,Boston Celtics,0.04773225
Brooklyn_Nets_2026_1,Brooklyn Nets,0.6649845
Brooklyn_Nets_2026_2,Brooklyn Nets,0.07994
Brooklyn_Nets_2027_1,Houston Rockets,0.6638904999999999
Brooklyn_Nets_2027_2,Detroit Pistons,0.08036587436332768
Brooklyn_Nets_2027_2,Washington Wizards,0.0760793991416309
Brooklyn_Nets_2028_1,Brooklyn Nets,0.609452
Brooklyn_Nets_2028_2,Brooklyn Nets,0.075561
Brooklyn_Nets_2029_1,Brooklyn Nets,0.527263
Brooklyn_Nets_2029_2,Brooklyn Nets,0.06760275
Brooklyn_Nets_2030_1,Brooklyn Nets,0.42647325
Brooklyn_Nets_2030_2,Brooklyn Nets,0.055842750000000003
Brooklyn_Nets_2031_1,Brooklyn Nets,0.382044
Brooklyn_Nets_2031_2,Brooklyn Nets,0.050417750000000004
Brooklyn_Nets_2032_1,Brooklyn Nets,0.358423
Brooklyn_Nets_2032_2,Brooklyn Nets,0.04745175
Charlotte_Hornets_2026_1,Charlotte Hornets,0.568577
Charlotte_Hornets_2026_2,Detroit Pistons,0.08493196746950266
Charlotte_Hornets_2026_2,Sacramento Kings,0.06715897398206674
Charlotte_Hornets_2027_1,Charlotte Hornets,0.5351162500000001
Charlotte_Hornets_2028_1,Charlotte Hornets,0.46145225
Charlotte_Hornets_2028_2,Charlotte Hornets,0.05025888421857089
Charlotte_Hornets_2028_2,Los Angeles Clippers,0.06618650954896384
Charlotte_Hornets_2029_1,Charlotte Hornets,0.42647825
Charlotte_Hornets_2029_2,Charlotte Hornets,0.056351750000000006
Charlotte_Hornets_2030_1,Charlotte Hornets,0.3577485
Charlotte_Hornets_2030_2,Charlotte Hornets,0.04753325
Charlotte_Hornets_2031_1,Charlotte Hornets,0.34847849999999997
Charlotte_Hornets_2031_2,Charlotte Hornets,0.04628625
Charlotte_Hornets_2032_1,Charlotte Hornets,0.35960175
Charlotte_Hornets_2032_2,Charlotte Hornets,0.04774275
Chicago_Bulls_2026_1,Chicago Bulls,0.5407234999999999
Chicago_Bulls_2026_2,Houston Rockets,0.06998475
Chicago_Bulls_2027_1,Chicago Bulls,0.5885315
Chicago_Bulls_2027_2,Washington Wizards,0.074299
Chicago_Bulls_2028_1,Chicago Bulls,0.5770385
Chicago_Bulls_2028_2,Chicago Bulls,0.07282899999999999
Chicago_Bulls_2029_1,Chicago Bulls,0.48385500000000004
Chicago_Bulls_2029_2,Chicago Bulls,0.0628465
Chicago_Bulls_2030_1,Chicago Bulls,0.39415025
Chicago_Bulls_2030_2,Chicago Bulls,0.052067999999999996
Chicago_Bulls_2031_1,Chicago Bulls,0.363325
Chicago_Bulls_2031_2,Chicago Bulls,0.04819025
Chicago_Bulls_2032_1,Chicago Bulls,0.36122125
Chicago_Bulls_2032_2,Chicago Bulls,0.04790475
Cleveland_Cavaliers_2026_2,Cleveland Cavaliers,0.0275
Cleveland_Cavaliers_2027_1,Phoenix Suns,0.17636500000000002
Cleveland_Cavaliers_2027_2,Minnesota Timberwolves,0.0234275
Cleveland_Cavaliers_2028_1,Atlanta Hawks,0.27893152927580894
Cleveland_Cavaliers_2028_1,Cleveland Cavaliers,0.20527712010331467
Cleveland_Cavaliers_2028_1,Utah Jazz,0.511141975308642
Cleveland_Cavaliers_2028_2,Cleveland Cavaliers,0.035664
Cleveland_Cavaliers_2029_1,Cleveland Cavaliers,0.2878139326290612
Cleveland_Cavaliers_2029_1,Utah Jazz,0.3504379891631547
Cleveland_Cavaliers_2029_2,Atlanta Hawks,0.043541
Cleveland_Cavaliers_2030_1,Cleveland Cavaliers,0.32436950000000003
Cleveland_Cavaliers_2030_2,San Antonio Spurs,0.043450749999999996
Cleveland_Cavaliers_2031_1,Cleveland Cavaliers,0.35111950000000003
Cleveland_Cavaliers_2031_2,Boston Celtics,0.061541316978695935
Cleveland_Cavaliers_2031_2,Utah Jazz,0.03364888847375304
Cleveland_Cavaliers_2032_1,Cleveland Cavaliers,0.36021425
Cleveland_Cavaliers_2032_2,Cleveland Cavaliers,0.047749
Dallas_Mavericks_2026_1,Dallas Mavericks,0.42821675000000003
Dallas_Mavericks_2026_2,Washington Wizards,0.05964149999999999
Dallas_Mavericks_2027_1,Charlotte Hornets,0.43427236997954133
Dallas_Mavericks_2027_1,Dallas Mavericks,0.8904978962131836
Dallas_Mavericks_2027_2,Detroit Pistons,0.08564163090128755
Dallas_Mavericks_2027_2,Washington Wizards,0.05993322014714205
Dallas_Mavericks_2028_1,Dallas Mavericks,0.20163934426229507
Dallas_Mavericks_2028_1,Oklahoma City Thunder,0.327282010797596
Dallas_Mavericks_2028_2,Indiana Pacers,0.046377249999999995
Dallas_Mavericks_2029_1,Brooklyn Nets,0.19888465094775776
Dallas_Mavericks_2029_1,Houston Rockets,0.39179756284292455
Dallas_Mavericks_2029_2,Brooklyn Nets,0.04735625
Dallas_Mavericks_2030_1,Dallas Mavericks,0.20081361966008268
Dallas_Mavericks_2030_1,San Antonio Spurs,0.39020147006730427
Dallas_Mavericks_2030_2,Brooklyn Nets,0.041365250000000006
Dallas_Mavericks_2031_1,Dallas Mavericks,0.3283335
Dallas_Mavericks_2031_2,Detroit Pistons,0.043925
Dallas_Mavericks_2032_1,Dallas Mavericks,0.356452
Dallas_Mavericks_2032_2,Dallas Mavericks,0.0474125
