pick_id,year,resolved,owner,value,error
Los_Angeles_Clippers_2028_2,2028,False,,,unprocessed
Oklahoma_City_Thunder_2030_2,2030,True,Oklahoma City Thunder,0.011529602,
Brooklyn_Nets_2031_1,2031,True,Brooklyn Nets,0.47681822031199994,
Oklahoma_City_Thunder_2027_1,2027,False,,,unprocessed
Brooklyn_Nets_2026_2,2026,True,Brooklyn Nets,0.08,
Denver_Nuggets_2032_2,2032,True,Denver Nuggets,0.07972581427775999,
Los_Angeles_Lakers_2029_2,2029,True,Washington Wizards,0.03058874,
Phoenix_Suns_2026_1,2026,True,Phoenix Suns,0.35,
Portland_Trail_Blazers_2028_2,2028,False,,,'Portland_Trail_Blazers_2028_1'
Phoenix_Suns_2031_2,2031,True,Charlotte Hornets,0.06327445577600001,
Los_Angeles_Lakers_2032_1,2032,True,Los Angeles Lakers,0.15502241665119998,
Dallas_Mavericks_2026_2,2026,True,Oklahoma City Thunder,0.075,
Milwaukee_Bucks_2028_1,2028,False,,,unprocessed
Dallas_Mavericks_2031_1,2031,True,Dallas Mavericks,0.15818613943999998,
Cleveland_Cavaliers_2032_1,2032,True,Cleveland Cavaliers,0.20374374759872,
Chicago_Bulls_2028_2,2028,True,Chicago Bulls,0.07203,
Indiana_Pacers_2029_1,2029,True,Indiana Pacers,0.6282456599999999,
Detroit_Pistons_2030_1,2030,True,Detroit Pistons,0.46118407999999994,
Boston_Celtics_2030_2,2030,True,Brooklyn Nets,0.06687169159999999,
New_Orleans_Pelicans_2028_1,2028,True,New Orleans Pelicans,0.578641,
Boston_Celtics_2027_1,2027,True,Boston Celtics,0.18375,
Detroit_Pistons_2027_2,2027,True,Detroit Pistons,0.01225,
Cleveland_Cavaliers_2029_2,2029,True,Atlanta Hawks,0.0352947,
Indiana_Pacers_2032_2,2032,True,Indiana Pacers,0.03543369523456,
Houston_Rockets_2032_1,2032,True,Houston Rockets,0.25025047259407995,
Charlotte_Hornets_2028_2,2028,False,,,unprocessed
