pick_id,owner,implied_value
Atlanta_Hawks_2026_2,Brooklyn Nets,0.05
Atlanta_Hawks_2027_1,San Antonio Spurs,0.202024
Atlanta_Hawks_2027_2,Portland Trail Blazers,0.0665375
Atlanta_Hawks_2028_1,Atlanta Hawks,0.2757234709314891
Atlanta_Hawks_2028_1,Cleveland Cavaliers,0.19997208263539923
Atlanta_Hawks_2028_2,Brooklyn Nets,0.0605765
Atlanta_Hawks_2029_1,Atlanta Hawks,0.288037
Atlanta_Hawks_2029_2,Oklahoma City Thunder,0.05555525
Atlanta_Hawks_2030_1,Atlanta Hawks,0.31567125
Atlanta_Hawks_2030_2,Atlanta Hawks,0.053280999999999995
Atlanta_Hawks_2031_1,Atlanta Hawks,0.35602925
Atlanta_Hawks_2031_2,Atlanta Hawks,0.06590538336052203
Atlanta_Hawks_2031_2,Houston Rockets,0.03515249354261872
Atlanta_Hawks_2032_1,Atlanta Hawks,0.36313449999999997
Atlanta_Hawks_2032_2,Atlanta Hawks,0.04743025
Boston_Celtics_2026_1,Boston Celtics,0.23
Boston_Celtics_2027_1,Boston Celtics,0.18927049999999998
Boston_Celtics_2027_2,Utah Jazz,0.06956875
Boston_Celtics_2028_1,Boston Celtics,0.15660215366705474
Boston_Celtics_2028_1,San Antonio Spurs,0.2180644424131627
Boston_Celtics_2029_1,Portland Trail Blazers,0.2526535836177474
Boston_Celtics_2029_1,Washington Wizards,0.3442448598130841
Boston_Celtics_2029_2,Oklahoma City Thunder,0.057201499999999995
Boston_Celtics_2030_1,Boston Celtics,0.42685025
Boston_Celtics_2030_2,Brooklyn Nets,0.03954425
Boston_Celtics_2031_1,Boston Celtics,0.37152675
Boston_Celtics_2031_2,Boston Celtics,0.033955046569093324
Boston_Celtics_2031_2,Utah Jazz,0.06021101498206372
Boston_Celtics_2032_1,Boston Celtics,0.3624515
Boston_Celtics_2032_2,Boston Celtics,0.04766675
Brooklyn_Nets_2026_1,Brooklyn Nets,0.662197
Brooklyn_Nets_2026_2,Brooklyn Nets,0.019172
Brooklyn_Nets_2027_1,Houston Rockets,0.66070275
Brooklyn_Nets_2027_2,Detroit Pistons,0.018958452558086297
Brooklyn_Nets_2027_2,Washington Wizards,0.021668646080760096
Brooklyn_Nets_2028_1,Brooklyn Nets,0.60837825
Brooklyn_Nets_2028_2,Brooklyn Nets,0.02204725
Brooklyn_Nets_2029_1,Brooklyn Nets,0.52386675
Brooklyn_Nets_2029_2,Brooklyn Nets,0.028865500000000002
Brooklyn_Nets_2030_1,Brooklyn Nets,0.4268005
Brooklyn_Nets_2030_2,Brooklyn Nets,0.039453
Brooklyn_Nets_2031_1,Brooklyn Nets,0.38025175
Brooklyn_Nets_2031_2,Brooklyn Nets,0.0452725
Brooklyn_Nets_2032_1,Brooklyn Nets,0.36031175
Brooklyn_Nets_2032_2,Brooklyn Nets,0.048027
Charlotte_Hornets_2026_1,Charlotte Hornets,0.56613625
Charlotte_Hornets_2026_2,Detroit Pistons,0.016420239596469106
Charlotte_Hornets_2026_2,Sacramento Kings,0.027322788517867604
