Pick,value1,value2,value3,value4
1,100,100,100,100
2,83.58,77.5,81.25,93.7
3,73.98,66.75,72.25,87.66
4,67.17,60.25,66.5,81.88
5,61.88,56,62.5,76.35
6,57.56,52.75,59.5,71.08
7,53.91,50,57,66.07
8,50.75,47.75,55,61.31
9,47.96,45.75,53,56.94
10,45.47,43,50.75,52.83
11,43.21,40,48.25,48.97
12,41.15,37.5,46,45.37
13,39.25,35,44,42.03
14,37.5,33,42.25,38.82
15,35.86,31,40.75,35.86
16,34.33,29.5,39.5,33.16
17,32.9,28.25,38.25,30.98
18,31.54,27,37.25,29.31
19,30.26,25.75,36,27.76
20,29.05,24.5,35,26.48
21,27.89,23,33.5,25.32
22,26.79,21.5,32.5,24.16
23,25.74,20,31.25,22.88
24,24.73,18.75,30.25,21.59
25,23.76,17.5,29.25,20.31
26,22.83,16.5,28.25,19.15
27,21.94,15.5,27.25,18.12
28,21.08,14.25,26,17.1
29,20.25,13,25,16.2
30,19.45,11.75,23.75,15.3
31,18.67,9,18,14.4
32,17.92,8.75,17.25,13.62
33,17.19,8.25,16.5,12.85
34,16.48,8,15.75,12.21
35,15.8,7.5,15,11.7
36,15.13,7.25,14.5,11.05
37,14.48,7,13.75,10.54
38,13.85,6.75,13.25,10.03
39,13.23,6.25,12.5,9.51
40,12.63,6,12,9.13
41,12.05,5.75,11.5,8.74
42,11.48,5.5,10.75,8.48
43,10.92,5.25,10.25,8.23
44,10.37,5,9.75,7.84
45,9.84,4.75,9.25,7.46
46,9.32,4.5,8.75,7.07
47,8.81,4.25,8.25,6.68
48,8.31,4,7.75,6.3
49,7.82,3.75,7.25,6.04
50,7.35,3.5,6.75,5.66
51,6.88,3.25,6.25,5.4
52,6.42,3,6,5.01
53,5.97,2.75,5.5,4.76
54,5.53,2.5,5,4.37
55,5.09,2.25,4.5,3.98
56,4.66,2.25,4.25,3.6
57,4.24,2,3.75,3.34
58,3.83,1.75,3.25,2.96
59,3.43,1.5,3,2.57
60,3.03,1.25,2.5,2.19
